Entity,Year,Deaths - Sex: all - Age: all - Variant: estimates
Asia (UN),1980,27224812.18
Asia (UN),1981,27062303.08
Asia (UN),1982,26899793.98
Asia (UN),1983,26737284.88
Asia (UN),1984,26574775.79
Asia (UN),1985,26412266.69
Asia (UN),1986,26249757.59
Asia (UN),1987,26087248.49
Asia (UN),1988,25924739.39
Asia (UN),1989,25762230.3
Asia (UN),1990,25599721.2
Asia (UN),1991,25437212.1
Asia (UN),1992,25274703
Asia (UN),1993,25112193.9
Asia (UN),1994,24949684.81
Asia (UN),1995,24787175.71
Asia (UN),1996,24624666.61
Asia (UN),1997,24462157.51
Asia (UN),1998,24299648.41
Asia (UN),1999,24137139.32
Asia (UN),2000,23974630.22
Asia (UN),2001,23812121.12
Asia (UN),2002,23649612.02
Asia (UN),2003,23487102.92
Asia (UN),2004,23324593.82
Asia (UN),2005,23162084.73
Asia (UN),2006,22999575.63
Asia (UN),2007,22837066.53
Asia (UN),2008,22674557.43
Asia (UN),2009,22512048.33
Asia (UN),2010,22349539.24
Asia (UN),2011,22187030.14
Asia (UN),2012,22024521.04
Asia (UN),2013,21862011.94
Asia (UN),2014,21699502.84
Asia (UN),2015,21536993.75
Asia (UN),2016,21374484.65
Asia (UN),2017,21211975.55
Asia (UN),2018,21049466.45
Asia (UN),2019,20886957.35
Asia (UN),2020,20724448.25
Asia (UN),2021,20561939.16
Latin America and the Caribbean (UN),1980,3074936
Latin America and the Caribbean (UN),1981,3065318
Latin America and the Caribbean (UN),1982,3080425
Latin America and the Caribbean (UN),1983,3049091
Latin America and the Caribbean (UN),1984,3045618
Latin America and the Caribbean (UN),1985,3052299
Latin America and the Caribbean (UN),1986,3015633
Latin America and the Caribbean (UN),1987,3006117
Latin America and the Caribbean (UN),1988,2999552
Latin America and the Caribbean (UN),1989,3007602
Latin America and the Caribbean (UN),1990,3026889
Latin America and the Caribbean (UN),1991,3030644
Latin America and the Caribbean (UN),1992,3040612
Latin America and the Caribbean (UN),1993,3054100
Latin America and the Caribbean (UN),1994,3057785
Latin America and the Caribbean (UN),1995,3083556
Latin America and the Caribbean (UN),1996,3092912
Latin America and the Caribbean (UN),1997,3108958
Latin America and the Caribbean (UN),1998,3144973
Latin America and the Caribbean (UN),1999,3148606
Latin America and the Caribbean (UN),2000,3172244
Latin America and the Caribbean (UN),2001,3205777
Latin America and the Caribbean (UN),2002,3222576
Latin America and the Caribbean (UN),2003,3281836
Latin America and the Caribbean (UN),2004,3299804
Latin America and the Caribbean (UN),2005,3308268
Latin America and the Caribbean (UN),2006,3359578
Latin America and the Caribbean (UN),2007,3434053
Latin America and the Caribbean (UN),2008,3478654
Latin America and the Caribbean (UN),2009,3535176
Latin America and the Caribbean (UN),2010,3694621
Latin America and the Caribbean (UN),2011,3653166
Latin America and the Caribbean (UN),2012,3707735
Latin America and the Caribbean (UN),2013,3750384
Latin America and the Caribbean (UN),2014,3806243
Latin America and the Caribbean (UN),2015,3906059
Latin America and the Caribbean (UN),2016,4038449
Latin America and the Caribbean (UN),2017,4104061
Latin America and the Caribbean (UN),2018,4190846
Latin America and the Caribbean (UN),2019,4257246
Latin America and the Caribbean (UN),2020,5066101
Latin America and the Caribbean (UN),2021,5534706
Northern America (UN),1980,2125573
Northern America (UN),1981,2118094
Northern America (UN),1982,2118371
Northern America (UN),1983,2163107
Northern America (UN),1984,2186179
Northern America (UN),1985,2240801
Northern America (UN),1986,2263021
Northern America (UN),1987,2282056
Northern America (UN),1988,2334058
Northern America (UN),1989,2318068
Northern America (UN),1990,2317754
Northern America (UN),1991,2343136
Northern America (UN),1992,2350968
Northern America (UN),1993,2452749
Northern America (UN),1994,2467228
Northern America (UN),1995,2504956
Northern America (UN),1996,2510626
Northern America (UN),1997,2515385
Northern America (UN),1998,2541299
Northern America (UN),1999,2599266
Northern America (UN),2000,2608888
Northern America (UN),2001,2623558
Northern America (UN),2002,2657397
Northern America (UN),2003,2665221
Northern America (UN),2004,2618741
Northern America (UN),2005,2673100
Northern America (UN),2006,2651559
Northern America (UN),2007,2656053
Northern America (UN),2008,2709416
Northern America (UN),2009,2676852
Northern America (UN),2010,2710578
Northern America (UN),2011,2762957
Northern America (UN),2012,2793608
Northern America (UN),2013,2852080
Northern America (UN),2014,2885075
Northern America (UN),2015,2964800
Northern America (UN),2016,2987878
Northern America (UN),2017,3049504
Northern America (UN),2018,3064891
Northern America (UN),2019,3063270
Northern America (UN),2020,3544380
Northern America (UN),2021,3579160
Europe (UN),1980,7422720
Europe (UN),1981,7404116
Europe (UN),1982,7373734
Europe (UN),1983,7562097
Europe (UN),1984,7584914
Europe (UN),1985,7702883
Europe (UN),1986,7423641
Europe (UN),1987,7407417
Europe (UN),1988,7475880
Europe (UN),1989,7527904
Europe (UN),1990,7681197
Europe (UN),1991,7796555
Europe (UN),1992,7935829
Europe (UN),1993,8412609
Europe (UN),1994,8492472
Europe (UN),1995,8553348
Europe (UN),1996,8394631
Europe (UN),1997,8240385
Europe (UN),1998,8193142
Europe (UN),1999,8402774
Europe (UN),2000,8401888
Europe (UN),2001,8364598
Europe (UN),2002,8520890
Europe (UN),2003,8655471
Europe (UN),2004,8381364
Europe (UN),2005,8494391
Europe (UN),2006,8237212
Europe (UN),2007,8187820
Europe (UN),2008,8195293
Europe (UN),2009,8099043
Europe (UN),2010,8128387
Europe (UN),2011,7958960
Europe (UN),2012,8078292
Europe (UN),2013,8033963
Europe (UN),2014,7955740
Europe (UN),2015,8177599
Europe (UN),2016,8009194
Europe (UN),2017,8076159
Europe (UN),2018,8112356
Europe (UN),2019,8020246
Europe (UN),2020,9119281
Europe (UN),2021,9656398
Africa (UN),1980,7986043
Africa (UN),1981,8055264
Africa (UN),1982,8146474
Africa (UN),1983,8632791
Africa (UN),1984,8773801
Africa (UN),1985,8849905
Africa (UN),1986,8891338
Africa (UN),1987,8943504
Africa (UN),1988,9359657
Africa (UN),1989,9072295
Africa (UN),1990,9278030
Africa (UN),1991,9556209
Africa (UN),1992,9850229
Africa (UN),1993,9906520
Africa (UN),1994,10475652
Africa (UN),1995,10080149
Africa (UN),1996,10281946
Africa (UN),1997,10413205
Africa (UN),1998,10805981
Africa (UN),1999,10633379
Africa (UN),2000,10614270
Africa (UN),2001,10727599
Africa (UN),2002,10799192
Africa (UN),2003,10848609
Africa (UN),2004,10875616
Africa (UN),2005,10866028
Africa (UN),2006,10806686
Africa (UN),2007,10784102
Africa (UN),2008,10769381
Africa (UN),2009,10679182
Africa (UN),2010,10652256
Africa (UN),2011,10594121
Africa (UN),2012,10561944
Africa (UN),2013,10569044
Africa (UN),2014,10589947
Africa (UN),2015,10646590
Africa (UN),2016,10651816
Africa (UN),2017,10694839
Africa (UN),2018,10763424
Africa (UN),2019,10840634
Africa (UN),2020,11390416
Africa (UN),2021,12038022
Oceania (UN),1980,176497
Oceania (UN),1981,176477
Oceania (UN),1982,181683
Oceania (UN),1983,178559
Oceania (UN),1984,181345
Oceania (UN),1985,188194
Oceania (UN),1986,185216
Oceania (UN),1987,189809
Oceania (UN),1988,191188
Oceania (UN),1989,197596
Oceania (UN),1990,191051
Oceania (UN),1991,191345
Oceania (UN),1992,196963
Oceania (UN),1993,195794
Oceania (UN),1994,202723
Oceania (UN),1995,202660
Oceania (UN),1996,207507
Oceania (UN),1997,208355
Oceania (UN),1998,209053
Oceania (UN),1999,211093
Oceania (UN),2000,211796
Oceania (UN),2001,214737
Oceania (UN),2002,221876
Oceania (UN),2003,222042
Oceania (UN),2004,224765
Oceania (UN),2005,224460
Oceania (UN),2006,230140
Oceania (UN),2007,237200
Oceania (UN),2008,241038
Oceania (UN),2009,241323
Oceania (UN),2010,243110
Oceania (UN),2011,249038
Oceania (UN),2012,252882
Oceania (UN),2013,252900
Oceania (UN),2014,259935
Oceania (UN),2015,264406
Oceania (UN),2016,267501
Oceania (UN),2017,270970
Oceania (UN),2018,271264
Oceania (UN),2019,280924
Oceania (UN),2020,278401
Oceania (UN),2021,289468
France,1980,547419
France,1981,555382
France,1982,543604
France,1983,560199
France,1984,543080
France,1985,553196
France,1986,547931
France,1987,527988
France,1988,524888
France,1989,529352
France,1990,526560
France,1991,524406
France,1992,521492
France,1993,531976
France,1994,519707
France,1995,530979
France,1996,535766
France,1997,530579
France,1998,534376
France,1999,538102
France,2000,531207
France,2001,530533
France,2002,534900
France,2003,550965
France,2004,508305
France,2005,525879
France,2006,515558
France,2007,520425
France,2008,531678
France,2009,538147
France,2010,540813
France,2011,534724
France,2012,558599
France,2013,558509
France,2014,546921
France,2015,582205
France,2016,580585
France,2017,594684
France,2018,596919
France,2019,602700
France,2020,655662
France,2021,639714